quote_date,region,desc,price
2022-04-01,North West,Hospital services,25973.22
2022-04-01,North West,Household textiles,10458.34
2022-04-01,North West,"Jewellery, clocks and watches",58569.2
2022-04-01,North West,Liquid Fuels,7749.97
2022-04-01,North West,Maintenance and repairs,7571.22
2022-04-01,North West,Major appliances and small electric goods,52912.35
2022-04-01,North West,Major durables for in/outdoor recreation,2021.8400000000001
2022-04-01,North West,Materials for maintenance and repair,1826.2
2022-04-01,North West,Meat,3214.65
2022-04-01,North West,Medical services and paramedical services,1357.0
2022-04-01,North West,"Milk, cheese and eggs",1222.45
2022-04-01,North West,"Mineral waters, soft drinks and juices",484.39
2022-04-01,North West,"Misc. printed matter, stationery, drawing materials",883.1500000000001
2022-04-01,North West,Motorcycles and bicycles,15451.87
2022-04-01,North West,Non-durable household goods,588.6
2022-04-01,North West,Oils and fats,293.41
2022-04-01,North West,Other clothing and clothing accessories,1655.8899999999999
2022-04-01,North West,Other medical and therapeutic equipment,2485.79
2022-04-01,North West,Other personal effects,6593.87
2022-04-01,North West,Other services,7101.88
2022-04-01,North West,Other services nec,170177.12
2022-04-01,North West,Passenger transport by road,4531.3099999999995
2022-04-01,North West,"Pets, related products and services",1885.17
2022-04-01,North West,Pharmaceutical products,450.51
2022-04-01,North West,"Photographic, cinematographic and optical equipment",1598.92
2022-04-01,North West,Reception and reproduction of sound and pictures,27197.9
2022-04-01,North West,Recording media,365.35
2022-04-01,North West,Recreational and sporting services,4295.49
2022-04-01,North West,Repair of audio-visual equipment & related products,635.0
2022-04-01,North West,Repair of household appliances,590.8
2022-04-01,North West,Restaurants & cafes,5269.89
2022-04-01,North West,Services for maintenance and repair,2816.82
2022-04-01,North West,Social protection,23734.84
2022-04-01,North West,Solid Fuels,370.56
2022-04-01,North West,Spare parts and accessories,1615.18
2022-04-01,North West,Spirits,2010.16
2022-04-01,North West,"Sugar, jam, syrups, chocolate and confectionery",362.25
2022-04-01,North West,Telephone and telefax equipment and services,3096.3199999999997
2022-04-01,North West,Tobacco,2424.0
2022-04-01,North West,Tools and equipment for house and garden,6539.92
2022-04-01,North West,Vegetables including potatoes and tubers,1843.58
2022-04-01,North West,Wine,1487.58
2022-04-01,Northern Ireland,Accommodation services,1024.0
2022-04-01,Northern Ireland,Appliances and products for personal care,4189.63
2022-04-01,Northern Ireland,Beer,238.32
2022-04-01,Northern Ireland,Books,409.57
2022-04-01,Northern Ireland,Bread and cereals,282.32
2022-04-01,Northern Ireland,Canteens,38.34
2022-04-01,Northern Ireland,Carpets and other floor coverings,2516.19
2022-04-01,Northern Ireland,"Cleaning, repair and hire of clothing",321.4
2022-04-01,Northern Ireland,"Coffee, tea and cocoa",164.05
2022-04-01,Northern Ireland,Cultural services,54.39
2022-04-01,Northern Ireland,Dental services,233.0
2022-04-01,Northern Ireland,Domestic services and household services,194.55
2022-04-01,Northern Ireland,Equipment for sport and open-air recreation,2092.06
2022-04-01,Northern Ireland,Fish,380.98
2022-04-01,Northern Ireland,Food products nec,500.15
2022-04-01,Northern Ireland,Footwear including repairs,14662.44
2022-04-01,Northern Ireland,Fruit,1221.11
2022-04-01,Northern Ireland,Fuels and lubricants,38.7
2022-04-01,Northern Ireland,Furniture and furnishings,77934.48
2022-04-01,Northern Ireland,"Games, toys and hobbies",3146.66
2022-04-01,Northern Ireland,"Gardens, plants and flowers",195.9
2022-04-01,Northern Ireland,Garments,22587.5
2022-04-01,Northern Ireland,"Glassware, tableware and household utensils",2718.36
2022-04-01,Northern Ireland,Hairdressing and personal grooming establishments,951.0
2022-04-01,Northern Ireland,Hospital services,7340.6
2022-04-01,Northern Ireland,Household textiles,6936.02
2022-04-01,Northern Ireland,"Jewellery, clocks and watches",20596.379999999997
2022-04-01,Northern Ireland,Liquid Fuels,2511.0
2022-04-01,Northern Ireland,Maintenance and repairs,2077.55
2022-04-01,Northern Ireland,Major appliances and small electric goods,40318.520000000004
2022-04-01,Northern Ireland,Major durables for in/outdoor recreation,1265.23
2022-04-01,Northern Ireland,Materials for maintenance and repair,1029.55
2022-04-01,Northern Ireland,Meat,1089.01
2022-04-01,Northern Ireland,Medical services and paramedical services,440.0
2022-04-01,Northern Ireland,"Milk, cheese and eggs",494.48
2022-04-01,Northern Ireland,"Mineral waters, soft drinks and juices",221.82
2022-04-01,Northern Ireland,"Misc. printed matter, stationery, drawing materials",374.40999999999997
2022-04-01,Northern Ireland,Motorcycles and bicycles,5185.95
2022-04-01,Northern Ireland,Non-durable household goods,268.43
2022-04-01,Northern Ireland,Oils and fats,137.79
2022-04-01,Northern Ireland,Other clothing and clothing accessories,1368.13
2022-04-01,Northern Ireland,Other medical and therapeutic equipment,385.15
2022-04-01,Northern Ireland,Other personal effects,6731.5599999999995
2022-04-01,Northern Ireland,Other services,1890.79
2022-04-01,Northern Ireland,Other services nec,54350.0
2022-04-01,Northern Ireland,Passenger transport by road,2886.9
2022-04-01,Northern Ireland,"Pets, related products and services",769.2
2022-04-01,Northern Ireland,Pharmaceutical products,235.68
2022-04-01,Northern Ireland,"Photographic, cinematographic and optical equipment",1598.92
2022-04-01,Northern Ireland,Reception and reproduction of sound and pictures,21704.83
2022-04-01,Northern Ireland,Recording media,207.96999999999997
2022-04-01,Northern Ireland,Recreational and sporting services,2195.95
2022-04-01,Northern Ireland,Repair of audio-visual equipment & related products,375.0
2022-04-01,Northern Ireland,Repair of household appliances,80.0
2022-04-01,Northern Ireland,Restaurants & cafes,2074.73
2022-04-01,Northern Ireland,Services for maintenance and repair,984.5999999999999
2022-04-01,Northern Ireland,Social protection,8369.119999999999
2022-04-01,Northern Ireland,Solid Fuels,47.5
2022-04-01,Northern Ireland,Spare parts and accessories,522.58
2022-04-01,Northern Ireland,Spirits,927.45
2022-04-01,Northern Ireland,"Sugar, jam, syrups, chocolate and confectionery",134.94
2022-04-01,Northern Ireland,Telephone and telefax equipment and services,2829.4399999999996
2022-04-01,Northern Ireland,Tobacco,845.4
2022-04-01,Northern Ireland,Tools and equipment for house and garden,4297.76
2022-04-01,Northern Ireland,Vegetables including potatoes and tubers,642.65
2022-04-01,Northern Ireland,Wine,719.46
2022-04-01,Scotland,Accommodation services,2007.0
2022-04-01,Scotland,Appliances and products for personal care,6439.7
2022-04-01,Scotland,Beer,462.38
2022-04-01,Scotland,Books,1041.44
2022-04-01,Scotland,Bread and cereals,543.0
2022-04-01,Scotland,Canteens,61.22
2022-04-01,Scotland,Carpets and other floor coverings,4376.57
2022-04-01,Scotland,"Cleaning, repair and hire of clothing",1074.4
2022-04-01,Scotland,"Coffee, tea and cocoa",310.85
2022-04-01,Scotland,Cultural services,364.17999999999995
2022-04-01,Scotland,Dental services,620.4
2022-04-01,Scotland,Domestic services and household services,1598.37
2022-04-01,Scotland,Equipment for sport and open-air recreation,5797.12
2022-04-01,Scotland,Fish,709.74
2022-04-01,Scotland,Food products nec,766.0699999999999
2022-04-01,Scotland,Footwear including repairs,25105.68
2022-04-01,Scotland,Fruit,2501.86
2022-04-01,Scotland,Fuels and lubricants,113.31
2022-04-01,Scotland,Furniture and furnishings,162630.91
2022-04-01,Scotland,"Games, toys and hobbies",4898.67
2022-04-01,Scotland,"Gardens, plants and flowers",377.69
2022-04-01,Scotland,Garments,32774.090000000004
2022-04-01,Scotland,"Glassware, tableware and household utensils",4057.46
2022-04-01,Scotland,Hairdressing and personal grooming establishments,2138.79
2022-04-01,Scotland,Hospital services,26396.8
2022-04-01,Scotland,Household textiles,10895.94
2022-04-01,Scotland,"Jewellery, clocks and watches",26929.86
2022-04-01,Scotland,Liquid Fuels,10725.27
2022-04-01,Scotland,Maintenance and repairs,4383.79
2022-04-01,Scotland,Major appliances and small electric goods,44185.01
2022-04-01,Scotland,Major durables for in/outdoor recreation,1874.52
2022-04-01,Scotland,Materials for maintenance and repair,1357.24
2022-04-01,Scotland,Meat,2599.83
2022-04-01,Scotland,Medical services and paramedical services,1242.0
2022-04-01,Scotland,"Milk, cheese and eggs",975.38
2022-04-01,Scotland,"Mineral waters, soft drinks and juices",396.24
2022-04-01,Scotland,"Misc. printed matter, stationery, drawing materials",693.18
2022-04-01,Scotland,Motorcycles and bicycles,18398.93
2022-04-01,Scotland,Non-durable household goods,508.0
2022-04-01,Scotland,Oils and fats,248.89999999999998
2022-04-01,Scotland,Other clothing and clothing accessories,2054.74
2022-04-01,Scotland,Other medical and therapeutic equipment,1172.44
2022-04-01,Scotland,Other personal effects,6821.59
2022-04-01,Scotland,Other services,5147.03
2022-04-01,Scotland,Other services nec,148395.56
2022-04-01,Scotland,Passenger transport by road,5825.42
2022-04-01,Scotland,"Pets, related products and services",1646.66
2022-04-01,Scotland,Pharmaceutical products,369.38
2022-04-01,Scotland,"Photographic, cinematographic and optical equipment",1598.92
2022-04-01,Scotland,Reception and reproduction of sound and pictures,24327.47
2022-04-01,Scotland,Recording media,364.45
2022-04-01,Scotland,Recreational and sporting services,5148.74
2022-04-01,Scotland,Repair of audio-visual equipment & related products,665.0
2022-04-01,Scotland,Repair of household appliances,519.0
2022-04-01,Scotland,Restaurants & cafes,4133.89
2022-04-01,Scotland,Services for maintenance and repair,3399.04
2022-04-01,Scotland,Social protection,23623.620000000003
2022-04-01,Scotland,Solid Fuels,198.83
2022-04-01,Scotland,Spare parts and accessories,1211.0
2022-04-01,Scotland,Spirits,1795.66
2022-04-01,Scotland,"Sugar, jam, syrups, chocolate and confectionery",290.21000000000004
2022-04-01,Scotland,Telephone and telefax equipment and services,2361.38
2022-04-01,Scotland,Tobacco,2010.02
2022-04-01,Scotland,Tools and equipment for house and garden,6808.98
2022-04-01,Scotland,Vegetables including potatoes and tubers,1303.73
2022-04-01,Scotland,Wine,1433.07
2022-04-01,South East,Accommodation services,3048.0
2022-04-01,South East,Appliances and products for personal care,7505.0
2022-04-01,South East,Beer,556.89
2022-04-01,South East,Books,1526.07
2022-04-01,South East,Bread and cereals,831.67
2022-04-01,South East,Canteens,144.46
2022-04-01,South East,Carpets and other floor coverings,7795.66
2022-04-01,South East,"Cleaning, repair and hire of clothing",1370.22
2022-04-01,South East,"Coffee, tea and cocoa",391.2
2022-04-01,South East,Cultural services,575.26
2022-04-01,South East,Dental services,1004.4
2022-04-01,South East,Domestic services and household services,5505.5599999999995
2022-04-01,South East,Equipment for sport and open-air recreation,6265.35
2022-04-01,South East,Fish,996.07
2022-04-01,South East,Food products nec,1004.71
2022-04-01,South East,Footwear including repairs,43906.36
2022-04-01,South East,Fruit,3698.01
2022-04-01,South East,Fuels and lubricants,227.91
2022-04-01,South East,Furniture and furnishings,294658.56
2022-04-01,South East,"Games, toys and hobbies",4959.63
2022-04-01,South East,"Gardens, plants and flowers",646.69
2022-04-01,South East,Garments,66339.64
2022-04-01,South East,"Glassware, tableware and household utensils",5844.28
2022-04-01,South East,Hairdressing and personal grooming establishments,6500.7
2022-04-01,South East,Hospital services,56478.38
2022-04-01,South East,Household textiles,12152.5
2022-04-01,South East,"Jewellery, clocks and watches",82157.42
